dataset,n,threshold,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,client_reject_rate,agent_discard_rate
251101_THD CX.xlsx,1905,0.4926130653266332,0.9380577427821523,0.0,0.0,0.0,0.8809528326045926,0,0,1787,118,0.06194225721784777,0.0
251205_TFG Contractor Index Q1.xlsx,878,0.4975376884422111,0.8587699316628702,0.11428571428571428,0.041237113402061855,0.06060606060606061,0.6314663991446334,4,31,750,93,0.11047835990888383,0.03986332574031891
260111_Delta Water Filtration.xlsx,1353,0.4975376884422111,0.7590539541759054,0.7037037037037037,0.10919540229885058,0.1890547263681592,0.7246754732086693,38,16,989,310,0.2572062084257206,0.03991130820399113
260200_SBD.xlsx,787,0.4827638190954774,0.5552731893265566,0.0,0.0,0.0,0.6223471722785224,0,0,437,350,0.44472681067344344,0.0
260206_OC BH.xlsx,2164,0.4876884422110553,0.8183918669131238,0.4521276595744681,0.22666666666666666,0.3019538188277087,0.643309111235327,85,103,1686,290,0.1732902033271719,0.08687615526802218
260300_ECHO.xlsx,1566,0.4926130653266332,0.6475095785440613,0.5013623978201635,0.33273056057866185,0.4,0.6457570569932647,184,183,830,369,0.35312899106002554,0.23435504469987228
260306_TFG Contractor Index Q2.xlsx,1117,0.4827638190954774,0.640107430617726,0.0,0.0,0.0,0.7827679782903663,0,0,715,402,0.35989256938227393,0.0
260401_ OC CAN.xlsx,743,0.47783919597989954,0.620457604306864,1.0,0.010526315789473684,0.020833333333333332,0.586125794836436,3,0,458,282,0.3835800807537012,0.004037685060565276
260403_Masterlock Conjoint.xlsx,916,0.4926130653266332,0.7641921397379913,0.08333333333333333,0.0048543689320388345,0.009174311926605505,0.48319431150006836,1,11,699,205,0.22489082969432314,0.013100436681222707
260404_ADDO.xlsx,1356,0.47783919597989954,0.754424778761062,0.6436781609195402,0.1564245810055866,0.251685393258427,0.6221717177371502,56,31,967,302,0.2640117994100295,0.06415929203539823
260501_ODL.xlsx,603,0.4384422110552764,0.9203980099502488,0.21428571428571427,0.1875,0.2,0.705998248686515,6,22,549,26,0.05306799336650083,0.04643449419568822
