outcome,source_excel_row,uuid,status,decision,score,markers,raw_gap_hypothesis,raw_fields_json,rationale
FN,11,xweg4nx3rmp5sjcx,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/UnJMD,bad:/CONAgeQuota/qikxx,bad:/BRANDS2RATEQuota/u1IDH,bad:/TotalQuota/Total,badopen,bad:/RegionQuota/b1V81,bad:/GenderQuota/GKGGU/fVOe7,bad:qualified,bad:/ChannelQuota/HD or OPE dealers/a79T5",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 8, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 4, ""brand_rating_high_8_10"": 32, ""open_count"": 3, ""open_topic_count"": 1, ""qtime"": 800.231}",q11othr4: repeated same text across 6 entries; q11othr5: one-word weak text | Protective: q11othr4: plausible equipment/brand other-specify; q11othr5: plausible equipment/brand other-specify; qc5: concrete recent OPE/lawn project
FN,40,91nfxufr4ymxfkq4,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/bIVuw,bad:/CONAgeQuota/qikxx,bad:/TotalQuota/Total,badopen,bad:/BRANDS2RATEQuota/Jbd7Y,bad:/RegionQuota/b1V81,bad:/GenderQuota/GKGGU/fVOe7,bad:qualified,bad:/ChannelQuota/HD or OPE dealers/a79T5",open text lacks known OPE/store terms,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 8, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 6, ""brand_rating_high_8_10"": 2, ""open_count"": 1, ""open_topic_count"": 0, ""qtime"": 908.066}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,52,dx3sbnu299ty01d4,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/RegionQuota/Qa7G0,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/TotalQuota/Total,bad:/CONAgeQuota/NVAwB,badopen,bad:/BRANDS2RATEQuota/Jbd7Y,bad:/GenderQuota/GKGGU/fVOe7,bad:qualified,bad:/BRANDS2RATEQuota/Fnvrj",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 7, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 5, ""brand_rating_high_8_10"": 12, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 2012.312}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,141,927a7q7nta5d6pjb,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/RegionQuota/Qa7G0,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/BRANDS2RATEQuota/CC8Pm,bad:/TotalQuota/Total,bad:qualified,badopen,bad:/CONAgeQuota/O49cL,bad:/GenderQuota/GKGGU/fVOe7,20260310_09:13_v2",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 6, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 2, ""brand_rating_high_8_10"": 13, ""open_count"": 5, ""open_topic_count"": 2, ""qtime"": 52538.546}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; q19_2026othr1: plausible OPE brand
FN,179,hjmm1wb7r0z9jsgc,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/bIVuw,bad:/CONAgeQuota/qikxx,bad:/ChannelQuota/Other channel/a79T5,bad:/BRANDS2RATEQuota/zNbns,bad:/TotalQuota/Total,bad:/GenderQuota/SXXcl/fVOe7,badopen,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:qualified",open text lacks known OPE/store terms,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 11, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 3, ""brand_rating_high_8_10"": 28, ""open_count"": 2, ""open_topic_count"": 0, ""qtime"": 411.348}",bottom-5% timing: 411s | Protective: q11othr2: plausible equipment/brand other-specify; qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing
FN,212,qdtyagk5qdfpz26s,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/UEGcM,bad:/BRANDS2RATEQuota/UnJMD,bad:/RegionQuota/Qa7G0,bad:/CONAgeQuota/qikxx,bad:/TotalQuota/Total,bad:qualified,badopen,bad:/GenderQuota/GKGGU/fVOe7,20260310_09:13_v2,bad:/ChannelQuota/HD or OPE dealers/a79T5",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 9, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 7, ""brand_rating_high_8_10"": 26, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 1348.193}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; brand chain includes recognizable OPE brands
FN,239,g3gfxdzyyjwaytjd,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/CONAgeQuota/qikxx,bad:/BRANDS2RATEQuota/Ariens,bad:/ChannelQuota/Other channel/a79T5,bad:/TotalQuota/Total,bad:/GenderQuota/SXXcl/fVOe7,badopen,bad:/RegionQuota/b1V81,20260310_09:13_v2,bad:qualified",Ariens/brand quota condition,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": true, ""brand_share_answered"": 2, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 1, ""brand_rating_high_8_10"": 16, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 605.297}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,249,zqaud10tqpw935de,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/RegionQuota/Qa7G0,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/BRANDS2RATEQuota/W0MBO,bad:/TotalQuota/Total,bad:/CONAgeQuota/NVAwB,bad:/BRANDS2RATEQuota/gvZBa,badopen,20260310_09:13_v2,bad:/GenderQuota/SXXcl/fVOe7,bad:qualified",open text lacks known OPE/store terms,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 7, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 6, ""brand_rating_high_8_10"": 32, ""open_count"": 2, ""open_topic_count"": 0, ""qtime"": 1094.717}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; q29: topical ad recall; adequate timing plus grounded project open-end
FN,263,yp1m7faf0trmkbdx,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/UnJMD,bad:/RegionQuota/Qa7G0,bad:/ChannelQuota/HD or OPE dealers/a79T5,bad:/TotalQuota/Total,bad:/CONAgeQuota/NVAwB,bad:/BRANDS2RATEQuota/gvZBa,badopen,bad:/GenderQuota/GKGGU/fVOe7,20260310_09:13_v2,bad:qualified",Ariens/brand quota condition | fragmented brand share allocation,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": true, ""brand_share_answered"": 10, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 9, ""brand_rating_high_8_10"": 24, ""open_count"": 1, ""open_topic_count"": 1, ""qtime"": 867.979}",No major semantic authenticity concern found | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
FN,296,xbyhr57nca3j8vvf,5,KEEP,0,"bad:/CLASSIFYQuota/yLx2x,bad:/BRANDS2RATEQuota/UnJMD,bad:/BRANDS2RATEQuota/NPaMe,bad:/TotalQuota/Total,bad:/CONAgeQuota/NVAwB,bad:qualified,badopen,bad:/RegionQuota/b1V81,bad:/GenderQuota/GKGGU/fVOe7,20260310_09:13_v2,bad:/ChannelQuota/HD or OPE dealers/a79T5",,"{""is_pro"": false, ""is_consumer"": true, ""list25"": false, ""conditionsAriens"": false, ""brand_share_answered"": 4, ""brand_share_sum"": 100.0, ""brand_share_nonzero"": 4, ""brand_rating_high_8_10"": 21, ""open_count"": 4, ""open_topic_count"": 1, ""qtime"": 1044.385}",q14r15oe: one-word weak text; q21b_2026r15oe: one-word weak text | Protective: qc5: concrete recent OPE/lawn project; qc5: personal/topical phrasing; adequate timing plus grounded project open-end
