rank,field,family,question,unique_values,score,max_abs_lift,top_values_json
1,q11othr2,equipment_ownership_use,,208,77.4935,0.6469,"[[""2"", 19, 19, 1.0, 0.6468710089399745], [""4"", 16, 16, 1.0, 0.6468710089399745], [""__MISSING__"", 1249, 399, 0.31945556445156126, -0.033673426608464285], [""Leaf blower"", 9, 2, 0.2222222222222222, -0.13090676883780333]]"
2,q19_2026othr1,brand_funnel,,244,65.2839,0.2623,"[[""Ryobi"", 13, 8, 0.6153846153846154, 0.2622556243245899], [""John Deere"", 20, 4, 0.2, -0.15312899106002553], [""Craftsman"", 11, 3, 0.2727272727272727, -0.08040171833275284], [""Honda"", 17, 7, 0.4117647058823529, 0.05863571482232738], [""__MISSING__"", 1147, 399, 0.34786399302528337, -0.005264998034742174]]"
3,q17r3,brand_funnel,,215,61.0377,0.3741,"[[""__MISSING__"", 970, 397, 0.4092783505154639, 0.056149359455438363], [""John Deere"", 27, 1, 0.037037037037037035, -0.3160919540229885], [""Milwaukee"", 23, 1, 0.043478260869565216, -0.3096507301904603], [""EGO"", 11, 8, 0.7272727272727273, 0.37414373621270175], [""Stihl"", 21, 2, 0.09523809523809523, -0.2578908958219303]]"
4,q11othr1,equipment_ownership_use,,172,57.1791,0.6469,"[[""2"", 13, 13, 1.0, 0.6468710089399745], [""1"", 9, 9, 1.0, 0.6468710089399745], [""None"", 12, 3, 0.25, -0.10312899106002554], [""__MISSING__"", 1294, 445, 0.34389489953632146, -0.00923409152370408]]"
5,q19_2026r13,brand_funnel,,36,55.5318,0.6469,"[[""__MISSING__"", 1031, 236, 0.2289039767216295, -0.12422501433839606], [""0"", 244, 137, 0.5614754098360656, 0.20834641877604004], [""10"", 69, 47, 0.6811594202898551, 0.32803042922982956], [""5"", 94, 54, 0.574468085106383, 0.2213390940463575], [""7"", 8, 8, 1.0, 0.6468710089399745]]"
6,q16r1,brand_funnel,,54,48.2591,0.3219,"[[""55"", 40, 27, 0.675, 0.3218710089399745], [""45"", 43, 27, 0.627906976744186, 0.2747779856841605], [""0"", 178, 39, 0.21910112359550563, -0.13402786746451992], [""80"", 56, 9, 0.16071428571428573, -0.19241470534573982], [""50"", 279, 122, 0.43727598566308246, 0.08414699460305691]]"
7,q16r2,brand_funnel,,54,48.2591,0.3219,"[[""45"", 40, 27, 0.675, 0.3218710089399745], [""55"", 43, 27, 0.627906976744186, 0.2747779856841605], [""100"", 178, 39, 0.21910112359550563, -0.13402786746451992], [""20"", 56, 9, 0.16071428571428573, -0.19241470534573982], [""50"", 279, 122, 0.43727598566308246, 0.08414699460305691]]"
8,q18r13,brand_funnel,,6,48.1537,0.3287,"[[""1"", 738, 162, 0.21951219512195122, -0.13361679593807432], [""6"", 110, 75, 0.6818181818181818, 0.3286891907581562], [""5"", 198, 114, 0.5757575757575758, 0.22262858469755026], [""4"", 159, 93, 0.5849056603773585, 0.23177666931733293], [""2"", 293, 74, 0.2525597269624573, -0.10056926409756822]]"
9,q19_2026r5,brand_funnel,,36,46.8794,0.6469,"[[""0"", 248, 147, 0.592741935483871, 0.23961294442384545], [""__MISSING__"", 906, 213, 0.23509933774834438, -0.11802965331168117], [""4"", 9, 9, 1.0, 0.6468710089399745], [""10"", 94, 51, 0.5425531914893617, 0.1894242004293361], [""6"", 13, 10, 0.7692307692307693, 0.41610177817074373]]"
10,q19_2026r17,brand_funnel,,31,43.7146,0.2719,"[[""__MISSING__"", 1023, 245, 0.23949169110459434, -0.1136372999554312], [""0"", 254, 137, 0.5393700787401575, 0.18624108768013198], [""10"", 80, 50, 0.625, 0.27187100893997446], [""5"", 87, 43, 0.4942528735632184, 0.14112388250319285], [""20"", 17, 10, 0.5882352941176471, 0.23510630305762154]]"
11,q11ar11c4,equipment_ownership_use,,2,42.6539,0.2055,"[[""0"", 614, 343, 0.5586319218241043, 0.20550293076407872], [""1"", 952, 210, 0.22058823529411764, -0.1325407557659079]]"
12,q15r1,other,,66,42.5371,0.4617,"[[""45"", 27, 22, 0.8148148148148148, 0.4616858237547892], [""55"", 36, 25, 0.6944444444444444, 0.3413154533844189], [""25"", 120, 25, 0.20833333333333334, -0.1447956577266922], [""65"", 38, 22, 0.5789473684210527, 0.2258183773610271], [""0"", 118, 27, 0.2288135593220339, -0.12431543173799164]]"
13,q18r14,brand_funnel,,6,40.7133,0.348,"[[""5"", 175, 108, 0.6171428571428571, 0.26401386608283156], [""1"", 810, 190, 0.2345679012345679, -0.11856108982545766], [""6"", 87, 61, 0.7011494252873564, 0.3480204342273308], [""4"", 158, 84, 0.5316455696202531, 0.17851657856022757], [""2"", 262, 77, 0.29389312977099236, -0.05923586128903319]]"
14,q19_2026r4,brand_funnel,,40,40.4134,0.5219,"[[""__MISSING__"", 902, 223, 0.24722838137472283, -0.10590060968530271], [""5"", 87, 50, 0.5747126436781609, 0.22158365261813534], [""0"", 230, 109, 0.47391304347826085, 0.12078405241823531], [""10"", 116, 59, 0.5086206896551724, 0.15549169859514683], [""6"", 8, 7, 0.875, 0.5218710089399745]]"
15,q18r17,brand_funnel,,6,39.6268,0.3168,"[[""6"", 103, 69, 0.6699029126213593, 0.3167739215613337], [""5"", 182, 103, 0.5659340659340659, 0.21280507487404038], [""1"", 675, 164, 0.24296296296296296, -0.11016602809706258], [""4"", 168, 89, 0.5297619047619048, 0.17663291370187922], [""2"", 348, 81, 0.23275862068965517, -0.12037037037037038]]"
16,q19_2026r14,brand_funnel,,21,38.9429,0.2316,"[[""0"", 236, 138, 0.5847457627118644, 0.23161677165183886], [""__MISSING__"", 1072, 267, 0.2490671641791045, -0.10406182688092105], [""10"", 77, 45, 0.5844155844155844, 0.23128659335555884], [""5"", 83, 45, 0.5421686746987951, 0.1890396836387696], [""6"", 12, 7, 0.5833333333333334, 0.23020434227330783]]"
17,q11othr6,equipment_ownership_use,,142,37.9031,0.6469,"[[""1"", 10, 10, 1.0, 0.6468710089399745], [""Any"", 9, 4, 0.4444444444444444, 0.09131545338441888], [""__MISSING__"", 1368, 477, 0.34868421052631576, -0.00444478053370978], [""None"", 9, 3, 0.3333333333333333, -0.01979565772669223]]"
18,q11ar3c4,equipment_ownership_use,,2,35.4751,0.1613,"[[""0"", 729, 375, 0.51440329218107, 0.1612743011210444], [""1"", 837, 178, 0.2126642771804062, -0.14046471387961934]]"
19,q11othr3,equipment_ownership_use,,101,34.1151,0.6469,"[[""2"", 8, 8, 1.0, 0.6468710089399745], [""__MISSING__"", 1417, 488, 0.34438955539872973, -0.008739435661295814]]"
20,q11ar4c4,equipment_ownership_use,,2,34.0133,0.1495,"[[""0"", 772, 388, 0.5025906735751295, 0.149461682515104], [""1"", 794, 165, 0.20780856423173805, -0.1453204268282875]]"
21,q19_2026r7,brand_funnel,,42,30.7783,0.3969,"[[""0"", 291, 148, 0.5085910652920962, 0.15546207423207065], [""__MISSING__"", 586, 152, 0.2593856655290102, -0.09374332553101533], [""3"", 8, 6, 0.75, 0.39687100893997446], [""90"", 10, 0, 0.0, -0.35312899106002554], [""30"", 27, 5, 0.18518518518518517, -0.16794380587484037]]"
22,q18r5,brand_funnel,,6,30.5959,0.2097,"[[""4"", 167, 94, 0.562874251497006, 0.20974526043698044], [""1"", 445, 104, 0.23370786516853934, -0.11942112589148621], [""2"", 461, 109, 0.23644251626898047, -0.11668647479104508], [""5"", 217, 110, 0.5069124423963134, 0.15378345133628785], [""6"", 169, 86, 0.5088757396449705, 0.15574674858494492]]"
