dataset,signal,hits,discard_hits,keep_hits,discard_rate,lift,base_rate
260306_TFG-Contractor-Index-Q2,missing_supplier,416,314,102,0.7548076923076923,0.39491512292541836,0.35989256938227393
260300_ECHO,classify_1,250,151,99,0.604,0.25087100893997444,0.35312899106002554
260200_SBD,very_fast_under_5min,49,46,3,0.9387755102040817,0.49404869953063824,0.44472681067344344
260404_ADDO,very_fast_under_5min,128,72,56,0.5625,0.2984882005899705,0.2640117994100295
260111_Delta-Water-Filtration,missing_supplier,485,198,287,0.40824742268041236,0.15104121425469175,0.2572062084257206
260300_ECHO,many_short_open,652,304,348,0.4662576687116564,0.11312867765163087,0.35312899106002554
260111_Delta-Water-Filtration,termflags_nonzero,35,26,9,0.7428571428571429,0.48565093443142227,0.2572062084257206
251101_THD-CX,classify_2,284,61,223,0.2147887323943662,0.15284647517651842,0.06194225721784777
260300_ECHO,very_fast_under_5min,15,15,0,1.0,0.6468710089399745,0.35312899106002554
260306_TFG-Contractor-Index-Q2,very_fast_under_5min,305,68,237,0.22295081967213115,-0.13694174971014278,0.35989256938227393
260300_ECHO,missing_supplier,548,248,300,0.45255474452554745,0.0994257534655219,0.35312899106002554
260401_-OC-CAN,missing_supplier,311,160,151,0.5144694533762058,0.13088937262250455,0.3835800807537012
260206_OC-BH,very_fast_under_5min,178,58,120,0.3258426966292135,0.1525524933020416,0.1732902033271719
260300_ECHO,classify_2,1316,402,914,0.30547112462006076,-0.04765786643996478,0.35312899106002554
260306_TFG-Contractor-Index-Q2,classify_1,45,5,40,0.1111111111111111,-0.24878145827116283,0.35989256938227393
260206_OC-BH,missing_supplier,569,138,431,0.24253075571177504,0.06924055238460314,0.1732902033271719
251205_TFG-Contractor-Index-Q1,classify_2,28,11,17,0.39285714285714285,0.282378782948259,0.11047835990888383
260206_OC-BH,termflags_nonzero,12,7,5,0.5833333333333334,0.41004313000616144,0.1732902033271719
260401_-OC-CAN,classify_2,362,112,250,0.30939226519337015,-0.07418781556033105,0.3835800807537012
260401_-OC-CAN,classify_1,381,173,208,0.4540682414698163,0.07048816071611508,0.3835800807537012
260300_ECHO,termflags_nonzero,15,10,5,0.6666666666666666,0.3135376756066411,0.35312899106002554
251205_TFG-Contractor-Index-Q1,missing_supplier,157,4,153,0.025477707006369428,-0.0850006529025144,0.11047835990888383
260206_OC-BH,no_open_text,37,0,37,0.0,-0.1732902033271719,0.1732902033271719
260306_TFG-Contractor-Index-Q2,classify_2,27,15,12,0.5555555555555556,0.19566298617328165,0.35989256938227393
260111_Delta-Water-Filtration,very_fast_under_5min,40,4,36,0.1,-0.1572062084257206,0.2572062084257206
260200_SBD,missing_supplier,277,138,139,0.4981949458483754,0.053468135174931986,0.44472681067344344
