family,total_score,fields,dataset_scores_json,top_fields_json
demographic_profile,5703.83,1193,"[[""260306_TFG-Contractor-Index-Q2"", 1654.0916209352158], [""260206_OC-BH"", 1374.3418156658672], [""260401_-OC-CAN"", 694.7056699462024], [""251205_TFG-Contractor-Index-Q1"", 459.2282404202347], [""260300_ECHO"", 444.65864990424745], [""260404_ADDO"", 291.99506569552176], [""251101_THD-CX"", 251.60511459798303], [""260111_Delta-Water-Filtration"", 234.96685453261955], [""260200_SBD"", 221.24786757181823], [""260403_Masterlock-Conjoint"", 76.99307099904395]]","[[""260306_TFG-Contractor-Index-Q2"", ""q4"", 97.4], [""260306_TFG-Contractor-Index-Q2"", ""q6r1"", 86.6], [""260306_TFG-Contractor-Index-Q2"", ""q6r3"", 85.6], [""260306_TFG-Contractor-Index-Q2"", ""q6r2"", 84.6], [""260306_TFG-Contractor-Index-Q2"", ""q45f"", 81.8], [""260306_TFG-Contractor-Index-Q2"", ""q40"", 78.0], [""260306_TFG-Contractor-Index-Q2"", ""q45h"", 78.0], [""260306_TFG-Contractor-Index-Q2"", ""q43"", 77.8], [""260306_TFG-Contractor-Index-Q2"", ""q45g"", 77.0], [""260306_TFG-Contractor-Index-Q2"", ""q42"", 76.1], [""260306_TFG-Contractor-Index-Q2"", ""q41"", 74.9], [""260306_TFG-Contractor-Index-Q2"", ""q45e"", 74.0], [""260306_TFG-Contractor-Index-Q2"", ""q39b"", 72.6], [""260306_TFG-Contractor-Index-Q2"", ""q5r1"", 47.5], [""260306_TFG-Contractor-Index-Q2"", ""q5r2"", 47.5], [""260401_-OC-CAN"", ""q51r1"", 44.3], [""260306_TFG-Contractor-Index-Q2"", ""q43dr1"", 43.0], [""260206_OC-BH"", ""q90r2"", 42.0], [""260306_TFG-Contractor-Index-Q2"", ""q43dr5"", 41.3], [""260401_-OC-CAN"", ""q43"", 39.7], [""260306_TFG-Contractor-Index-Q2"", ""q9"", 39.2], [""260306_TFG-Contractor-Index-Q2"", ""q3"", 38.3], [""260401_-OC-CAN"", ""q44"", 37.6], [""251101_THD-CX"", ""q8r1"", 35.9], [""260306_TFG-Contractor-Index-Q2"", ""q43dr4"", 32.2]]"
brand_funnel_ad,4058.51,705,"[[""260300_ECHO"", 3083.4438288612364], [""260111_Delta-Water-Filtration"", 415.79138118997895], [""260401_-OC-CAN"", 308.506349460712], [""260206_OC-BH"", 115.05630345859242], [""260200_SBD"", 101.14207958773767], [""260404_ADDO"", 32.915791683658725], [""251101_THD-CX"", 1.6497279876642033]]","[[""260300_ECHO"", ""q17r2"", 88.1], [""260300_ECHO"", ""q29"", 80.2], [""260300_ECHO"", ""q19_2026othr1"", 65.3], [""260300_ECHO"", ""q17r3"", 61.0], [""260300_ECHO"", ""q19_2026r13"", 55.5], [""260300_ECHO"", ""q16r1"", 48.3], [""260300_ECHO"", ""q16r2"", 48.3], [""260300_ECHO"", ""q18r13"", 48.2], [""260300_ECHO"", ""q19_2026r5"", 46.9], [""260300_ECHO"", ""q19_2026r17"", 43.7], [""260300_ECHO"", ""q18r14"", 40.7], [""260300_ECHO"", ""q19_2026r4"", 40.4], [""260300_ECHO"", ""q18r17"", 39.6], [""260300_ECHO"", ""q19_2026r14"", 38.9], [""260401_-OC-CAN"", ""q17"", 35.6], [""260206_OC-BH"", ""q25r1"", 33.5], [""260401_-OC-CAN"", ""q25r2"", 31.9], [""260300_ECHO"", ""q19_2026r7"", 30.8], [""260300_ECHO"", ""q18r5"", 30.6], [""260401_-OC-CAN"", ""q24"", 30.5], [""260300_ECHO"", ""q23_2026_Lr13r4"", 30.4], [""260300_ECHO"", ""q19_2026r11"", 30.3], [""260300_ECHO"", ""q23_2026_Lr13r5"", 29.4], [""260300_ECHO"", ""q24_2026_Lr13"", 29.4], [""260300_ECHO"", ""q23_2026_Lr13r1"", 29.3]]"
other,2729.16,453,"[[""260306_TFG-Contractor-Index-Q2"", 539.1622301674358], [""260401_-OC-CAN"", 452.35273753481994], [""260200_SBD"", 426.93946216385075], [""260111_Delta-Water-Filtration"", 284.7893878033074], [""260404_ADDO"", 270.6218770010818], [""260300_ECHO"", 236.93300263609538], [""251101_THD-CX"", 229.7326070565158], [""251205_TFG-Contractor-Index-Q1"", 159.10260907687766], [""260206_OC-BH"", 94.0928471353494], [""260403_Masterlock-Conjoint"", 35.431278976893886]]","[[""260306_TFG-Contractor-Index-Q2"", ""qc6LangAssessReadLevel"", 115.6], [""260306_TFG-Contractor-Index-Q2"", ""vos"", 89.0], [""260306_TFG-Contractor-Index-Q2"", ""vmobiledevice"", 82.8], [""260306_TFG-Contractor-Index-Q2"", ""vmobileos"", 82.6], [""260401_-OC-CAN"", ""qcoe1R1_RD_Reviewr3"", 51.1], [""260404_ADDO"", ""qcoe1LangAssessNumSyl"", 50.0], [""251205_TFG-Contractor-Index-Q1"", ""qc6LangAssessReadLevel"", 43.2], [""260200_SBD"", ""qcoe2r1"", 42.5], [""260300_ECHO"", ""q15r1"", 42.5], [""260200_SBD"", ""fp_etag"", 42.4], [""260200_SBD"", ""fp_html5"", 42.4], [""260200_SBD"", ""qcoe2r2"", 41.9], [""260306_TFG-Contractor-Index-Q2"", ""qc6LangAssessNumSyl"", 41.8], [""260404_ADDO"", ""qcoe1LangAssessNumWords"", 41.0], [""260401_-OC-CAN"", ""TOT_PATIOSr1"", 36.2], [""260200_SBD"", ""qcoe2r3"", 35.3], [""260404_ADDO"", ""outroR1_RD_Reviewr3"", 31.1], [""260200_SBD"", ""qcoe2r4"", 26.5], [""260111_Delta-Water-Filtration"", ""vos"", 26.3], [""260111_Delta-Water-Filtration"", ""vmobileos"", 25.0], [""251205_TFG-Contractor-Index-Q1"", ""vos"", 24.6], [""260306_TFG-Contractor-Index-Q2"", ""qc2"", 24.6], [""260111_Delta-Water-Filtration"", ""vmobiledevice"", 24.3], [""251205_TFG-Contractor-Index-Q1"", ""vmobiledevice"", 23.8], [""251205_TFG-Contractor-Index-Q1"", ""vmobileos"", 23.5]]"
ownership_use_product,2722.57,791,"[[""260206_OC-BH"", 1168.782100313383], [""260300_ECHO"", 1012.9390457050961], [""251101_THD-CX"", 155.94039900268027], [""260200_SBD"", 93.28076688222203], [""260306_TFG-Contractor-Index-Q2"", 88.20590720174918], [""260401_-OC-CAN"", 76.32683881177074], [""251205_TFG-Contractor-Index-Q1"", 49.77710939259454], [""260111_Delta-Water-Filtration"", 33.67698335483502], [""260404_ADDO"", 30.629904654364587], [""260403_Masterlock-Conjoint"", 13.008693149077914]]","[[""260300_ECHO"", ""q11othr4"", 79.8], [""260300_ECHO"", ""q11othr2"", 77.5], [""260300_ECHO"", ""q11othr1"", 57.2], [""260306_TFG-Contractor-Index-Q2"", ""q13r1"", 44.3], [""260300_ECHO"", ""q11ar11c4"", 42.7], [""260200_SBD"", ""q13r1"", 39.6], [""260206_OC-BH"", ""q121r1"", 39.0], [""260200_SBD"", ""q13r2"", 38.8], [""260300_ECHO"", ""q11othr6"", 37.9], [""260300_ECHO"", ""q11ar3c4"", 35.5], [""260300_ECHO"", ""q11othr3"", 34.1], [""260300_ECHO"", ""q11ar4c4"", 34.0], [""251205_TFG-Contractor-Index-Q1"", ""q13r1"", 32.1], [""260206_OC-BH"", ""q136"", 24.5], [""260300_ECHO"", ""q13b"", 23.3], [""260206_OC-BH"", ""q139r9"", 23.2], [""260300_ECHO"", ""q11ar8c4"", 23.0], [""260300_ECHO"", ""q11ar2c4"", 22.9], [""260306_TFG-Contractor-Index-Q2"", ""q10"", 22.1], [""260300_ECHO"", ""q11br4c4"", 21.5], [""260300_ECHO"", ""q11ar11c2"", 20.6], [""260206_OC-BH"", ""q139r7"", 20.5], [""260206_OC-BH"", ""q110r1"", 19.2], [""260206_OC-BH"", ""q121r2"", 19.1], [""260206_OC-BH"", ""q139r8"", 19.1]]"
fielding_technical,1446.74,143,"[[""260306_TFG-Contractor-Index-Q2"", 645.1864944384895], [""260401_-OC-CAN"", 178.79848018724783], [""260111_Delta-Water-Filtration"", 131.30255616287735], [""260300_ECHO"", 118.08565800000883], [""251205_TFG-Contractor-Index-Q1"", 99.57403882464145], [""260206_OC-BH"", 98.48332613127778], [""251101_THD-CX"", 92.26666082478555], [""260200_SBD"", 32.96464242916964], [""260404_ADDO"", 27.9131997585951], [""260403_Masterlock-Conjoint"", 22.16014535511098]]","[[""260306_TFG-Contractor-Index-Q2"", ""vlist"", 109.5], [""260306_TFG-Contractor-Index-Q2"", ""list"", 109.5], [""260306_TFG-Contractor-Index-Q2"", ""SUPNAME"", 108.8], [""260306_TFG-Contractor-Index-Q2"", ""bhf"", 108.6], [""260306_TFG-Contractor-Index-Q2"", ""sfh"", 104.0], [""260306_TFG-Contractor-Index-Q2"", ""dcua"", 83.5], [""260401_-OC-CAN"", ""vlist"", 61.6], [""260401_-OC-CAN"", ""list"", 61.6], [""251205_TFG-Contractor-Index-Q1"", ""SUPNAME"", 52.7], [""260300_ECHO"", ""bhf"", 29.3], [""260401_-OC-CAN"", ""SUPNAME"", 27.5], [""260206_OC-BH"", ""vlist"", 27.4], [""260206_OC-BH"", ""list"", 27.4], [""260111_Delta-Water-Filtration"", ""dcua"", 25.1], [""251205_TFG-Contractor-Index-Q1"", ""dcua"", 23.9], [""260111_Delta-Water-Filtration"", ""bhf"", 23.0], [""260300_ECHO"", ""SUPNAME"", 22.3], [""260401_-OC-CAN"", ""bhf"", 21.0], [""260111_Delta-Water-Filtration"", ""SUPNAME"", 20.5], [""251101_THD-CX"", ""vlist"", 20.4], [""251101_THD-CX"", ""list"", 20.4], [""260300_ECHO"", ""conditionsAriens"", 20.2], [""260111_Delta-Water-Filtration"", ""sfh"", 17.9], [""260111_Delta-Water-Filtration"", ""vlist"", 17.2], [""260111_Delta-Water-Filtration"", ""list"", 17.2]]"
channel_supplier,675.82,176,"[[""260111_Delta-Water-Filtration"", 263.28159250941695], [""260300_ECHO"", 171.2738208476928], [""260206_OC-BH"", 149.63140351074], [""260401_-OC-CAN"", 67.57849002212106], [""260200_SBD"", 13.020236991278129], [""260404_ADDO"", 4.722229061397952], [""251101_THD-CX"", 3.8915579540749246], [""260403_Masterlock-Conjoint"", 2.4248865496504415]]","[[""260206_OC-BH"", ""q141r1"", 23.8], [""260111_Delta-Water-Filtration"", ""q22r21"", 19.6], [""260300_ECHO"", ""q21d_2026r17"", 19.1], [""260111_Delta-Water-Filtration"", ""q22r12"", 17.8], [""260111_Delta-Water-Filtration"", ""q22r14"", 13.3], [""260111_Delta-Water-Filtration"", ""q22r10"", 12.9], [""260111_Delta-Water-Filtration"", ""q22r3"", 12.3], [""260111_Delta-Water-Filtration"", ""q22r8"", 11.4], [""260111_Delta-Water-Filtration"", ""q22r9"", 11.3], [""260206_OC-BH"", ""q22r5"", 11.3], [""260206_OC-BH"", ""q21r3"", 11.2], [""260111_Delta-Water-Filtration"", ""q22r7"", 10.6], [""260206_OC-BH"", ""q21r2"", 10.6], [""260206_OC-BH"", ""q22r2"", 10.2], [""260111_Delta-Water-Filtration"", ""q22r15"", 9.9], [""260206_OC-BH"", ""q21r1"", 9.7], [""260206_OC-BH"", ""q22r1"", 9.7], [""260111_Delta-Water-Filtration"", ""q22r11"", 9.6], [""260206_OC-BH"", ""q21r5"", 9.5], [""260401_-OC-CAN"", ""q14r5"", 9.3], [""260401_-OC-CAN"", ""q22r4"", 9.1], [""260111_Delta-Water-Filtration"", ""q22r5"", 9.0], [""260111_Delta-Water-Filtration"", ""q22r6"", 8.5], [""260206_OC-BH"", ""q22r3"", 8.4], [""260111_Delta-Water-Filtration"", ""q21r3"", 8.3]]"
switching_loyalty,599.07,270,"[[""260404_ADDO"", 290.43879695236933], [""260401_-OC-CAN"", 126.44715875759478], [""260300_ECHO"", 105.76032972394258], [""260111_Delta-Water-Filtration"", 22.292446694785248], [""260200_SBD"", 21.134406045057002], [""260206_OC-BH"", 19.75762963093618], [""260306_TFG-Contractor-Index-Q2"", 7.204417047003471], [""251205_TFG-Contractor-Index-Q1"", 6.033355204494287]]","[[""260111_Delta-Water-Filtration"", ""q32"", 12.3], [""260401_-OC-CAN"", ""q31r2"", 11.9], [""260300_ECHO"", ""q31_2026r4"", 11.0], [""260401_-OC-CAN"", ""q31r7"", 11.0], [""260300_ECHO"", ""q30_2026"", 10.3], [""260401_-OC-CAN"", ""q31r9"", 9.2], [""260401_-OC-CAN"", ""q31r10"", 9.0], [""260300_ECHO"", ""q31_2026r10"", 8.3], [""260200_SBD"", ""q30"", 8.2], [""260401_-OC-CAN"", ""q31r8"", 8.1], [""260401_-OC-CAN"", ""q31r1"", 7.9], [""260200_SBD"", ""q32"", 7.5], [""260306_TFG-Contractor-Index-Q2"", ""q32"", 7.2], [""260300_ECHO"", ""q30_2026r6oe"", 7.0], [""251205_TFG-Contractor-Index-Q1"", ""q32"", 6.0], [""260300_ECHO"", ""q31_2026r5"", 5.7], [""260401_-OC-CAN"", ""q31r5"", 5.7], [""260200_SBD"", ""q31"", 5.5], [""260111_Delta-Water-Filtration"", ""q31"", 5.4], [""260401_-OC-CAN"", ""q30r7"", 5.1], [""260401_-OC-CAN"", ""q31r4"", 5.1], [""260206_OC-BH"", ""q31"", 5.0], [""260300_ECHO"", ""q31_2026r12"", 4.9], [""260401_-OC-CAN"", ""q31r6"", 4.9], [""260111_Delta-Water-Filtration"", ""q30"", 4.5]]"
matrix_attributes,592.35,172,"[[""260206_OC-BH"", 197.46193209038393], [""260200_SBD"", 127.87841849884191], [""260306_TFG-Contractor-Index-Q2"", 126.62991959273822], [""260401_-OC-CAN"", 96.10274053558634], [""251205_TFG-Contractor-Index-Q1"", 20.19670588370167], [""260111_Delta-Water-Filtration"", 16.51618891976895], [""260404_ADDO"", 7.561038579757548]]","[[""260306_TFG-Contractor-Index-Q2"", ""q37"", 75.1], [""260206_OC-BH"", ""q36r1"", 52.6], [""260306_TFG-Contractor-Index-Q2"", ""q34"", 28.6], [""260206_OC-BH"", ""q36r2"", 26.1], [""260206_OC-BH"", ""q36r3"", 22.9], [""260111_Delta-Water-Filtration"", ""q33"", 16.5], [""251205_TFG-Contractor-Index-Q1"", ""q37"", 13.0], [""260206_OC-BH"", ""q36r4"", 12.2], [""260306_TFG-Contractor-Index-Q2"", ""q36"", 11.7], [""260206_OC-BH"", ""q36r5"", 10.9], [""260306_TFG-Contractor-Index-Q2"", ""q33"", 9.5], [""260206_OC-BH"", ""q36r6"", 8.2], [""260200_SBD"", ""q33"", 7.3], [""260200_SBD"", ""q36_Lr17"", 7.1], [""260206_OC-BH"", ""q36r7"", 6.6], [""260401_-OC-CAN"", ""q34"", 5.6], [""260401_-OC-CAN"", ""q36r8"", 5.6], [""260401_-OC-CAN"", ""q33"", 5.5], [""260401_-OC-CAN"", ""q36r9"", 5.5], [""260401_-OC-CAN"", ""q36r2"", 5.2], [""260401_-OC-CAN"", ""q36r10"", 4.4], [""260401_-OC-CAN"", ""q36r13"", 4.2], [""260401_-OC-CAN"", ""q36r4"", 4.1], [""260401_-OC-CAN"", ""q36r12"", 4.1], [""260200_SBD"", ""q37_Lr6"", 4.0]]"
quota_classification,470.93,54,"[[""260306_TFG-Contractor-Index-Q2"", 310.53554548895397], [""260300_ECHO"", 64.66864888680504], [""251205_TFG-Contractor-Index-Q1"", 53.41261854212735], [""251101_THD-CX"", 13.39911677213544], [""260401_-OC-CAN"", 12.051322683365935], [""260200_SBD"", 5.523685555975841], [""260206_OC-BH"", 5.127560949197585], [""260404_ADDO"", 2.504332898915556], [""260403_Masterlock-Conjoint"", 2.234170837120978], [""260111_Delta-Water-Filtration"", 1.4706328551150694]]","[[""260306_TFG-Contractor-Index-Q2"", ""CLASSIFY"", 96.8], [""260306_TFG-Contractor-Index-Q2"", ""CLASSIFYGROUP"", 85.7], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr5"", 72.3], [""260300_ECHO"", ""CONAGE"", 22.2], [""260300_ECHO"", ""PROAGE"", 21.1], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr13"", 20.0], [""260300_ECHO"", ""CLASSIFY"", 18.7], [""251205_TFG-Contractor-Index-Q1"", ""CLASSIFY"", 16.8], [""251205_TFG-Contractor-Index-Q1"", ""CLASSIFYGROUP"", 13.8], [""251205_TFG-Contractor-Index-Q1"", ""possibleCLASSIFYr5"", 12.7], [""251101_THD-CX"", ""CLASSIFY"", 12.6], [""260401_-OC-CAN"", ""PROCLASSIFY"", 8.2], [""260306_TFG-Contractor-Index-Q2"", ""REGION"", 5.8], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr7"", 5.5], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr4"", 4.8], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr10"", 4.8], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr11"", 4.8], [""260200_SBD"", ""COMP_CLASSIFY"", 4.3], [""260401_-OC-CAN"", ""CLASSIFY"", 3.9], [""260206_OC-BH"", ""PROCLASSIFY"", 3.2], [""251205_TFG-Contractor-Index-Q1"", ""REGION"", 2.9], [""260306_TFG-Contractor-Index-Q2"", ""possibleCLASSIFYr1"", 2.9], [""260300_ECHO"", ""REGION"", 2.6], [""260404_ADDO"", ""EDUQUOTA"", 2.5], [""251205_TFG-Contractor-Index-Q1"", ""possibleCLASSIFYr13"", 2.4]]"
open_end_text,16.08,6,"[[""260403_Masterlock-Conjoint"", 13.19920476924394], [""260200_SBD"", 2.2222549032425283], [""251101_THD-CX"", 0.3967534447102379], [""260111_Delta-Water-Filtration"", 0.2654047754845093]]","[[""260403_Masterlock-Conjoint"", ""qIndustryr26oe"", 13.2], [""260200_SBD"", ""q15r13oe"", 1.7], [""260200_SBD"", ""q1r13oe"", 0.5], [""251101_THD-CX"", ""q1r26oe"", 0.3], [""260111_Delta-Water-Filtration"", ""q26r15oe"", 0.3], [""251101_THD-CX"", ""qRoler10oe"", 0.1]]"
