rank,dataset,field,family,question,unique_values,score,top_values_json
1,260306_TFG-Contractor-Index-Q2,qc6LangAssessReadLevel,other,,275,115.5664,"[[""9.74"", 14, 13, 0.9285714285714286, 0.5686788591891547], [""0"", 52, 8, 0.15384615384615385, -0.20604641553612008], [""12.605"", 8, 7, 0.875, 0.5151074306177261], [""12.3"", 5, 5, 1.0, 0.6401074306177261], [""11.7066666667"", 5, 5, 1.0, 0.6401074306177261], [""9.57"", 16, 1, 0.0625, -0.29739256938227393]]"
2,260306_TFG-Contractor-Index-Q2,vlist,fielding_technical,Participant source,4,109.4724,"[[""1"", 701, 88, 0.12553495007132667, -0.23435761931094726], [""23"", 96, 90, 0.9375, 0.5776074306177261], [""21"", 279, 187, 0.6702508960573477, 0.31035832667507374], [""25"", 41, 37, 0.9024390243902439, 0.5425464550079699]]"
3,260306_TFG-Contractor-Index-Q2,list,fielding_technical,Captured variable,4,109.4724,"[[""139"", 701, 88, 0.12553495007132667, -0.23435761931094726], [""16"", 96, 90, 0.9375, 0.5776074306177261], [""18"", 279, 187, 0.6702508960573477, 0.31035832667507374], [""14"", 41, 37, 0.9024390243902439, 0.5425464550079699]]"
4,260306_TFG-Contractor-Index-Q2,SUPNAME,fielding_technical,Captured variable,23,108.8179,"[[""__MISSING__"", 416, 314, 0.7548076923076923, 0.39491512292541836], [""PrimeInsightsGroupLLC-API"", 513, 62, 0.12085769980506822, -0.2390348695772057], [""MakeOpinionGmbH-API"", 29, 0, 0.0, -0.35989256938227393], [""Qmee"", 34, 2, 0.058823529411764705, -0.3010690399705092], [""BrandedResearch"", 45, 7, 0.15555555555555556, -0.20433701382671837], [""DISQO"", 9, 1, 0.1111111111111111, -0.24878145827116283]]"
5,260306_TFG-Contractor-Index-Q2,bhf,fielding_technical,Captured variable,56,108.5911,"[[""__MISSING__"", 416, 314, 0.7548076923076923, 0.39491512292541836], [""47"", 20, 0, 0.0, -0.35989256938227393], [""37"", 31, 3, 0.0967741935483871, -0.26311837583388686], [""51"", 21, 1, 0.047619047619047616, -0.3122735217632263], [""53"", 15, 0, 0.0, -0.35989256938227393], [""54"", 19, 1, 0.05263157894736842, -0.3072609904349055]]"
6,260306_TFG-Contractor-Index-Q2,sfh,fielding_technical,Captured variable,5,103.982,"[[""__MISSING__"", 416, 314, 0.7548076923076923, 0.39491512292541836], [""3"", 297, 38, 0.12794612794612795, -0.23194644143614598], [""2"", 166, 14, 0.08433734939759036, -0.2755552199846836], [""1"", 113, 14, 0.12389380530973451, -0.23599876407253942], [""4"", 125, 22, 0.176, -0.18389256938227394]]"
7,260306_TFG-Contractor-Index-Q2,q4,demographic_profile,Which of the following best describes your trade?,17,97.4334,"[[""5"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""7"", 288, 38, 0.13194444444444445, -0.22794812493782948], [""16"", 57, 4, 0.07017543859649122, -0.2897171307857827], [""11"", 41, 1, 0.024390243902439025, -0.3355023254798349], [""14"", 41, 1, 0.024390243902439025, -0.3355023254798349], [""4"", 62, 39, 0.6290322580645161, 0.2691396886822422]]"
8,260306_TFG-Contractor-Index-Q2,CLASSIFY,quota_classification,CLASSIFY,15,96.8473,"[[""5"", 292, 230, 0.7876712328767124, 0.42777866349443844], [""13"", 266, 32, 0.12030075187969924, -0.2395918175025747], [""7"", 126, 21, 0.16666666666666666, -0.19322590271560727], [""10"", 41, 1, 0.024390243902439025, -0.3355023254798349], [""11"", 41, 1, 0.024390243902439025, -0.3355023254798349], [""4"", 62, 39, 0.6290322580645161, 0.2691396886822422]]"
9,260306_TFG-Contractor-Index-Q2,vos,other,Operating System,7,89.0445,"[[""4"", 344, 265, 0.7703488372093024, 0.41045626782702843], [""14"", 507, 77, 0.15187376725838264, -0.2080188021238913], [""12"", 219, 39, 0.1780821917808219, -0.18181037760145202], [""15"", 11, 8, 0.7272727272727273, 0.36738015789045336], [""13"", 33, 13, 0.3939393939393939, 0.03404682455711999]]"
10,260300_ECHO,q17r2,brand_funnel_ad,,291,88.0615,"[[""__MISSING__"", 547, 254, 0.4643510054844607, 0.11122201442443513], [""John Deere"", 40, 6, 0.15, -0.20312899106002555], [""Craftsman"", 59, 12, 0.2033898305084746, -0.14973916055155095], [""Milwaukee"", 40, 7, 0.175, -0.17812899106002555], [""ECHO"", 8, 6, 0.75, 0.39687100893997446], [""Black and decker"", 10, 0, 0.0, -0.35312899106002554]]"
