dataset,uuid,status,markers,open_count,open_placeholder,open_meta,open_junk,open_short,texts_json
251101_THD-CX,8rswfmq0rvxvr83n,0,"qualified,/RegionQuota/rNO9b,/SampleSourceQuota/THD,/CLASSIFYQuota/Other_THD_sample/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave1/THD,/FlagTrackingQuota/hHCyO/THD,wave1,/TotalQuota/Total,20251210_12:15_v6,/Ge",2,0,0,0,2,"[""MRO Sales"", ""1""]"
251101_THD-CX,0hfcsf62k30kkme9,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/FlagTrackingQuota/hHCyO/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave1/THD,/AgeQuota/DAuWQ,wave1,/TotalQuota/Total,20251210_12:15_v6,/Gende",2,0,0,0,2,"[""Engineer"", ""1""]"
251101_THD-CX,8jkw8kpz25wjdn6s,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave2/THD,/Newq13BalancingQuota/jZt1R,/FlagTrackingQuota/hHCyO/THD,wave2,/AgeQuota/rb2u9,/TotalQuota/To",3,0,0,0,3,"[""Accessibility Modifications"", ""HR"", ""1""]"
251101_THD-CX,qf6bk9yjf5s7xanr,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave2/THD,/Newq13BalancingQuota/AVCDA,/FlagTrackingQuota/hHCyO/THD,wave2,/GenderTrackingQuota/Z5GQJ,/Ag",2,0,0,0,2,"[""admin"", ""1""]"
251101_THD-CX,1m314u5s19gxe72k,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave2/THD,/FlagTrackingQuota/hHCyO/THD,wave2,/AgeQuota/rb2u9,/TotalQuota/Total,20251210_12:15_v6,/Gende",2,0,0,0,2,"[""Ranch"", ""1""]"
251101_THD-CX,bwht9b7rw4bcuxv3,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/Newq13BalancingQuota/Qqm2H,/AgeQuota/DAuWQ,/RegionQuota/JEieL,/WaveBalancingQuota/wave1/THD,/Newq13BalancingQuota/jZt1R,/FlagTrackingQuota/hHCyO/THD,w",3,0,0,0,3,"[""Engineer"", ""Engineer"", ""1""]"
251101_THD-CX,0azbe3e2xws21kpx,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/GenderTrackingQuota/xc8N6,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave2/THD,/FlagTrackingQuota/hHCyO/THD,wave2,/AgeQuota/rb2u9,/TotalQuota/Tot",2,0,0,0,2,"[""Property Owner"", ""1""]"
251101_THD-CX,f7b4t1m08agmpnev,0,"qualified,/CLASSIFYQuota/Other_THD_sample/THD,/SampleSourceQuota/THD,/Newq13BalancingQuota/Qqm2H,/RegionQuota/JEieL,/WaveBalancingQuota/wave1/THD,/Newq13BalancingQuota/jZt1R,/FlagTrackingQuota/hHCyO/THD,wave1,/AgeQuota/r",2,0,0,0,2,"[""Sales"", ""1""]"
251101_THD-CX,68g8exucehbvt7fk,0,"qualified,/RegionQuota/rNO9b,/SampleSourceQuota/THD,/CLASSIFYQuota/Other_THD_sample/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave2/THD,/FlagTrackingQuota/hHCyO/THD,wave2,/GenderTrackingQuota/Z5GQJ,/AgeQuota/rb",2,0,0,0,2,"[""Realtor"", ""1""]"
251101_THD-CX,bxdgr0s2kazzsqu1,0,"qualified,/RegionQuota/ERwJh,/SampleSourceQuota/THD,/CLASSIFYQuota/Other_THD_sample/THD,/Newq13BalancingQuota/Qqm2H,/WaveBalancingQuota/wave2/THD,/FlagTrackingQuota/hHCyO/THD,wave2,/TotalQuota/Total,20251210_12:15_v6,/Ge",2,0,0,0,2,"[""retail"", ""1""]"
